Bucket_ID,Cuke_ID,Treatment,Length_cm,Weight_g,Weight_2,Dead_Weight,Survival,Evisceration,Pooping,Origin,
1,A,Control,34.2,920,938,NA,Alive,No,Yes,4D,
1,B,Control,24.8,414,426,NA,Alive,No,No,5D,
2,A,Control,22.6,324,364,NA,Alive,No,Yes,4D,
2,B,Control,25.2,658,682,NA,Alive,No,No,4D,
3,A,Control,25.6,418,442,NA,Alive,No,Yes,5D,
3,B,Control,32.2,628,658,NA,Alive,No,No,4D,
4,A,Control,29.8,800,804,NA,Alive,No,No,4D,
4,B,Control,26,448,460,NA,Alive,No,No,4D,
5,A,Control,24.2,520,520,NA,Alive,No,No,5D,
5,B,Control,32.6,858,800,NA,Alive,No,No,4D,
6,A,Heat,26.5,780,776,NA,Alive,No,No,4D,
6,B,Heat,28.1,538,574,NA,Alive,No,Yes,5D,
7,A,Heat,31.2,722,726,354,Dead,Yes,No,5D,
7,B,Heat,25.8,406,408,NA,Alive,Yes,No,4D,
8,A,Heat,26,406,428,NA,Alive,No,No,5D,
8,B,Heat,21.2,198,200,NA,Alive,Yes,No,4D,
9,A,Room,27.6,568,576,NA,Alive,No,Yes,4D,
9,B,Room,27.8,808,812,NA,Alive,No,No,5D,
10,A,Heat,34,630,620,458,Dead,No,No,4D,
10,B,Heat,19,186,176,NA,Alive,No,Yes,4D,
11,A,Heat,26,472,510,NA,Alive,No,Yes,4D,
11,B,Heat,30.4,466,460,NA,Alive,No,Yes,4D,
12,A,Heat,23.2,708,754,348,Dead,No,No,5D,
12,B,Heat,28.8,404,402,NA,Alive,Yes,No,4D,
13,A,Room,25,522,502,NA,Alive,No,No,5D,
13,B,Room,33.8,274,572,NA,Alive,Yes,No,4D,
14,A,Heat,29,552,584,NA,Alive,No,Yes,4D,
14,B,Heat,24.2,526,530,202,Dead,No,Yes,5D,
15,A,Heat,15.2,244,254,NA,Alive,No,Yes,5D,
15,B,Heat,28.8,472,472,NA,Alive,No,No,5D,
16,A,Room,30.6,888,960,NA,Alive,No,No,5D,
16,B,Room,28.8,428,434,NA,Alive,No,No,4D,
17,A,Room,25.5,664,662,NA,Alive,No,No,4D,
17,B,Room,30.2,778,790,NA,Alive,No,No,6D,
18,A,Room,37,470,466,NA,Alive,No,No,5D,Did not stiffen up - very limp when measured
18,B,Room,21.8,408,406,NA,Alive,No,No,6D,
19,A,Room,31.4,864,824,NA,Alive,No,No,5D,
19,B,Room,27,600,610,NA,Alive,No,No,4D,
20,A,Room,29,666,668,NA,Alive,Yes,No,4D,
20,B,Room,32.6,874,920,NA,Alive,No,No,5D,
21,A,Control,28.4,400,390,NA,Alive,No,No,6D,
21,B,Control,22.2,526,544,NA,Alive,No,No,6D,
22,A,Control,31,550,538,NA,Alive,No,Yes,6D,
22,B,Control,30.2,616,574,NA,Alive,No,Yes,6D,
23,A,Room,22.6,310,316,NA,Alive,Yes,No,6D,
23,B,Room,21.2,390,396,NA,Alive,No,No,6D,
24,A,Control,22.6,430,506,NA,Alive,No,Yes,6D,
24,B,Control,22,296,260,NA,Alive,Yes,Yes,6D,
25,A,Control,32.8,846,846,NA,Alive,No,Yes,6D,
25,B,Control,26.2,298,292,NA,Alive,No,No,6D,
26,A,Room,30.1,816,812,NA,Alive,No,No,6D,
26,B,Room,30.4,612,612,NA,Alive,Yes,No,6D,
27,A,Room,30.2,558,596,NA,Alive,No,No,6D,
28,A,Heat,22.2,522,518,248,Dead,Yes,Yes,6D,
29,A,Control,34.3,954,962,NA,Alive,No,No,6D,
30,A,Heat,25.8,368,402,NA,Alive,Yes,No,6D,
